#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:26.005Z,7.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:27.891Z,3.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:29.817Z,6.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:31.759Z,14.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:33.695Z,9.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:35.631Z,8.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:37.561Z,14.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:39.497Z,18.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:41.434Z,27.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:43.4Z,12.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:45.303Z,21.7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:47.25Z,23.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:48.25Z,20.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:50.257Z,22.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:52.2Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:54.126Z,17.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:55.144Z,29.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:57.019Z,21.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:36:58.88Z,14.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:00.794Z,13.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:02.768Z,2.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:04.67Z,17.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:06.595Z,23.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:08.55Z,16.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:10.474Z,26.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:12.406Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:13.413Z,29.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:15.319Z,28.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:17.287Z,23.2,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:18.3Z,23.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:20.192Z,26.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:21.25Z,19.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:23.128Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:24.146Z,6.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:25.157Z,5.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:27.078Z,9.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:28.879Z,10.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:30.804Z,9.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:32.727Z,11.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:34.664Z,23.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:36.614Z,23.2,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:38.549Z,40.2,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:40.482Z,37.2,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:42.416Z,17.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:44.343Z,17.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:45.347Z,1.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:47.264Z,21.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:49.235Z,7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:51.197Z,7,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:52.205Z,1.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:54.146Z,3.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:55.147Z,5.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:56.978Z,3.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:58.089Z,2.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:37:59.846Z,6.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:01.778Z,11.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:03.706Z,15.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:05.657Z,8.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:07.574Z,4.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:09.565Z,15.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:10.74Z,7.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:12.423Z,10.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:14.35Z,15.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:16.286Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:18.233Z,5.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:20.18Z,18.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:21.192Z,16.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:23.218Z,2.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:25.145Z,4.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:26.151Z,7.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:27.929Z,4.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:28.996Z,6.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:30.832Z,1.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:32.857Z,8,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:34.694Z,14.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:36.623Z,9.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:38.553Z,1.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:40.496Z,3.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:42.42Z,2.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:44.37Z,5.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:46.297Z,1.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:48.243Z,9.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:50.22Z,14.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:52.171Z,3.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:53.182Z,3.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:54.187Z,7.5,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:56.196Z,1.1,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:57.941Z,9.6,angleTrue,environment,wind
,,0,2019-10-05T16:34:00Z,2019-10-05T16:39:00Z,2019-10-05T16:38:58.943Z,12.6,angleTrue,environment,wind

