#group,false,false,true,true,false,false,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string
#default,_result,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,prop1
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:35.115Z,11.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:37.051Z,25,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:39.008Z,24.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:40.938Z,17.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:43.695Z,19,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:44.797Z,16,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:46.757Z,16.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:48.667Z,21,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:50.615Z,23,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:52.586Z,30,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:53.734Z,25.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:55.452Z,18.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:57.402Z,36,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:27:59.326Z,20,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:01.255Z,10,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:03.218Z,3.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:05.12Z,19.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:07.45Z,1.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:08.657Z,0.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:09.976Z,10.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:11.897Z,19,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:13.839Z,23.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:15.776Z,13.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:17.703Z,27,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:19.64Z,28,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:21.594Z,24,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:23.597Z,32.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:25.477Z,24.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:26.53Z,17.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:28.376Z,17.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:30.291Z,11.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:32.226Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:34.252Z,6,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:36.096Z,1,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:38.036Z,18.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:39.969Z,20.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:41.903Z,25.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:43.829Z,22.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:45.783Z,17,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:47.769Z,23.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:49.667Z,8.5,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:51.614Z,20,angleApparent,environment,wind
,,0,2019-10-05T20:25:00Z,2019-10-05T20:30:00Z,2019-10-05T20:28:53.522Z,22.5,angleApparent,environment,wind
